timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,tilt_x,tilt_y,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z,battery,height,leader_status,exec_time
1759208394.8627415,1,leader,auto,0.08577511310577393,0.6652530193328858,0.019127482175827028,,,,,,,,,,,,,1.0,0.10721889138221741,0.8315662741661072,0.023909352719783783,0.08577511310577393,0.6652530193328858,0.019127482175827028,,,1,
1759208394.8628957,2,follower,auto,-0.11420501470565797,0.6443615913391114,0.7593961238861084,,,,,,,,,,,,,1.0,-0.14275626838207245,0.8054519891738892,0.9492451548576355,-0.11420501470565797,0.6443615913391114,0.7593961238861084,,,0,
1759208394.9749048,1,leader,auto,0.08577511310577393,0.6652530193328858,0.019127482175827028,,,,,,,,,,,,,1.0,0.10721889138221741,0.8315662741661072,0.023909352719783783,0.08577511310577393,0.6652530193328858,0.019127482175827028,,,1,
1759208395.0752368,2,follower,auto,-0.11420501470565797,0.6443615913391114,0.7593961238861084,,,,,,,,,,,,,1.0,-0.14275626838207245,0.8054519891738892,0.9492451548576355,-0.11420501470565797,0.6443615913391114,0.7593961238861084,,,0,
1759208395.1766295,1,leader,auto,0.10335447463653982,0.8031534295931458,0.025851946133188905,,,,,,,,,,,,,1.0,0.013371081488206982,0.1258094401881098,0.007401361153461038,0.10335447463653982,0.8031534295931458,0.025851946133188905,,,1,
1759208395.1767716,2,follower,auto,-0.13952019540928304,0.7788100642308593,0.9248894894899801,,,,,,,,,,,,,0.85,-0.020013986604288214,0.12183825058490028,0.1578069504192099,-0.13952019540928304,0.7788100642308593,0.9248894894899801,,,0,
1759208395.353145,1,leader,auto,0.10335447463653982,0.8031534295931458,0.025851946133188905,,,,,,,,,,,,,1.0,0.013371081488206982,0.1258094401881098,0.007401361153461038,0.10335447463653982,0.8031534295931458,0.025851946133188905,,,1,
1759208395.4534647,2,follower,auto,-0.13952019540928304,0.7788100642308593,0.9248894894899801,,,,,,,,,,,,,0.85,-0.020013986604288214,0.12183825058490028,0.1578069504192099,-0.13952019540928304,0.7788100642308593,0.9248894894899801,,,0,
1759208395.5545497,1,leader,auto,0.10783347810421884,0.840578000398159,0.026334843383831904,,,,,,,,,,,,,1.0,-0.006913335378691557,-0.011380814769268,-0.000576697148894894,0.10783347810421884,0.840578000398159,0.026334843383831904,,,1,
1759208395.5546782,2,follower,auto,-0.14254137866051494,0.8164416871221065,0.9611330309603494,,,,,,,,,,,,,1.0,0.013347193218842146,-0.011226992682218606,-0.012919445382496342,-0.14254137866051494,0.8164416871221065,0.9611330309603494,,,0,
1759208395.6610913,1,leader,auto,0.10783347810421884,0.840578000398159,0.026334843383831904,,,,,,,,,,,,,1.0,-0.006913335378691557,-0.011380814769268,-0.000576697148894894,0.10783347810421884,0.840578000398159,0.026334843383831904,,,1,
1759208395.76141,2,follower,auto,-0.14254137866051494,0.8164416871221065,0.9611330309603494,,,,,,,,,,,,,1.0,0.013347193218842146,-0.011226992682218606,-0.012919445382496342,-0.14254137866051494,0.8164416871221065,0.9611330309603494,,,0,
1759208395.863315,1,leader,auto,0.10957100312214911,0.8577507784684586,0.0262126422020901,,,,,,,,,,,,,1.0,-0.013235065852692726,-0.04110338823004955,-0.0011163775340262798,0.10957100312214911,0.8577507784684586,0.0262126422020901,,,1,
