timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z
1759455245.6262014,0,leader,manual,-0.05719394236803055,0.05438198894262314,0.09122415632009506,0,1,0,0.05719394236803055,0.9456180110573769,-0.09122415632009506,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1759455245.6264002,1,follower,manual,-0.07415657490491867,0.05734513700008392,0.9043532013893127,0,1,1,0.07415657490491867,0.9426548629999161,0.09564679861068726,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1759455245.72793,0,leader,manual,-0.057179298251867294,0.05440279468894005,0.0912286564707756,0,1,0,0.057179298251867294,0.94559720531106,-0.0912286564707756,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1759455245.7284741,1,follower,manual,-0.07415035367012024,0.057353805750608444,0.9043591022491455,0,1,1,0.07415035367012024,0.9426461942493916,0.09564089775085449,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1759455245.830761,0,leader,manual,-0.0571870431303978,0.05438891053199768,0.09121809154748917,0,1,0,0.0571870431303978,0.9456110894680023,-0.09121809154748917,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1759455245.9311879,1,follower,manual,-0.07415547221899033,0.05733421817421913,0.9043600559234619,0,1,1,0.07415547221899033,0.9426657818257809,0.09563994407653809,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1759455246.0389016,0,leader,manual,-0.05718347430229187,0.05439288169145584,0.09122275561094284,0,1,0,0.05718347430229187,0.9456071183085442,-0.09122275561094284,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1759455246.139209,1,follower,manual,-0.07415392994880676,0.05733320489525795,0.9043492674827576,0,1,1,0.07415392994880676,0.942666795104742,0.09565073251724243,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1759455246.3208563,0,leader,manual,-0.05718090757727623,0.054395366460084915,0.09122324734926224,0,1,0,0.05718090757727623,0.9456046335399151,-0.09122324734926224,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1759455246.421181,1,follower,manual,-0.07415585219860077,0.0573432482779026,0.9043514132499695,0,1,1,0.07415585219860077,0.9426567517220974,0.09564858675003052,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1759455246.5939517,0,leader,manual,-0.05719046667218208,0.05438937619328499,0.09121762216091156,0,1,0,0.05719046667218208,0.945610623806715,-0.09121762216091156,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
