timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,height,battery,process_time,quat_x,quat_y,quat_z,quat_w,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z,battery,height,leader_status,exec_time,control_anomaly,position_missing
1754543522.0717123,0,leader,manual,0.07093465328216553,0.05523066595196724,0.09199707955121994,0,1,0,-0.07093465328216553,0.9447693340480328,-0.09199707955121994,0,0,0,0,0,100,0,0.004612072836607695,0.005004209000617266,0.002844260074198246,-0.9999728798866272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1754543522.1722782,1,follower,manual,0.061520982533693314,0.05937770754098892,1.002205491065979,0,1,1,-0.061520982533693314,0.9406222924590111,-0.002205491065979004,0,0,0,0,0,100,0,0.004612072836607695,0.005004209000617266,0.002844260074198246,-0.9999728798866272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1754543522.274317,0,leader,manual,0.0709376409649849,0.055236201733350754,0.0919925794005394,0,1,0,-0.0709376409649849,0.9447637982666492,-0.0919925794005394,0,0,0,0,0,100,0,0.004586710594594479,0.004971059504896402,0.0028831230010837317,-0.9999730587005615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1754543522.3748496,1,follower,manual,0.0615244098007679,0.05937395244836807,1.0021995306015015,0,1,1,-0.0615244098007679,0.9406260475516319,-0.002199530601501465,0,0,0,0,0,100,0,0.004586710594594479,0.004971059504896402,0.0028831230010837317,-0.9999730587005615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1754543522.4780815,0,leader,manual,0.07094423472881317,0.055244915187358856,0.0919908806681633,0,1,0,-0.07094423472881317,0.9447550848126411,-0.0919908806681633,0,0,0,0,0,100,0,0.004664988722652197,0.004994664806872606,0.00291400752030313,-0.999972403049469,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1754543522.5785997,1,follower,manual,0.06152378395199776,0.05938204750418663,1.0022122859954834,0,1,1,-0.06152378395199776,0.9406179524958134,-0.0022122859954833984,0,0,0,0,0,100,0,0.004664988722652197,0.004994664806872606,0.00291400752030313,-0.999972403049469,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1754543522.6820898,0,leader,manual,0.0709441751241684,0.05524357035756111,0.09199348092079163,0,1,0,-0.0709441751241684,0.9447564296424389,-0.09199348092079163,0,0,0,0,0,100,0,0.004581242334097624,0.004944817628711462,0.00290692294947803,-0.9999730587005615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1754543522.7825518,1,follower,manual,0.06152702122926712,0.0593789778649807,1.0022026300430298,0,1,1,-0.06152702122926712,0.9406210221350193,-0.002202630043029785,0,0,0,0,0,100,0,0.004581242334097624,0.004944817628711462,0.00290692294947803,-0.9999730587005615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1754543522.8861883,0,leader,manual,0.07093711942434311,0.055240534245967865,0.09199309349060059,0,1,0,-0.07093711942434311,0.9447594657540321,-0.09199309349060059,0,0,0,0,0,100,0,0.004606018308550119,0.004959973506629467,0.0028823118191212416,-0.999972939491272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1754543522.9873085,1,follower,manual,0.0615227147936821,0.05938506871461868,1.0022077560424805,0,1,1,-0.0615227147936821,0.9406149312853813,-0.0022077560424804688,0,0,0,0,0,100,0,0.004606018308550119,0.004959973506629467,0.0028823118191212416,-0.999972939491272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1754543523.142405,0,leader,manual,0.07093630731105804,0.05522795394062996,0.09199386090040207,0,1,0,-0.07093630731105804,0.94477204605937,-0.09199386090040207,0,0,0,0,0,100,0,0.0046634855680167675,0.004987512249499559,0.002852057106792927,-0.9999726414680481,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
