timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z,cbf_fire_flag,rc_safe_x,rc_safe_z,rc_diff_norm,qp_status,active_constraint_id,rc_nom_x,rc_nom_z,h_x,HOh_x,h2_value,h2_satisfied,h3_value,h3_satisfied,velocity_diff_x,velocity_diff_y
1771308218.5252655,0,leader,manual,0.906980037689209,0.02061537094414234,0.9090580940246582,0.9,1,1,-0.006980037689208962,0.9793846290558577,0.0909419059753418,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1771308218.6256783,1,follower,manual,-0.04954325780272484,0.05004158243536949,0.9125525951385498,0.1,1,1,0.14954325780272484,0.9499584175646305,0.0874474048614502,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1771308218.893842,0,leader,manual,0.9069597721099854,0.020634325221180916,0.9090520143508911,0.9,1,1,-0.006959772109985329,0.9793656747788191,0.09094798564910889,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1771308218.9942589,1,follower,manual,-0.049549538642168045,0.050046131014823914,0.9125546813011169,0.1,1,1,0.14954953864216805,0.9499538689851761,0.08744531869888306,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1771308219.0997744,0,leader,manual,0.9070058465003967,0.02057628147304058,0.9090386033058167,0.9,1,1,-0.007005846500396706,0.9794237185269594,0.09096139669418335,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1771308219.2001708,1,follower,manual,-0.049551013857126236,0.050043292343616486,0.9125517010688782,0.1,1,1,0.14955101385712624,0.9499567076563835,0.08744829893112183,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1771308219.3458562,0,leader,manual,0.9069884419441223,0.020615383982658386,0.909081757068634,0.9,1,1,-0.006988441944122292,0.9793846160173416,0.09091824293136597,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1771308219.4466794,1,follower,manual,-0.04954400286078453,0.05003613233566284,0.9125508069992065,0.1,1,1,0.14954400286078454,0.9499638676643372,0.08744919300079346,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1771308219.6546679,0,leader,manual,0.906960666179657,0.020614169538021088,0.9090679883956909,0.9,1,1,-0.00696066617965696,0.9793858304619789,0.09093201160430908,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1771308219.7552044,1,follower,manual,-0.049556586891412735,0.05003774166107178,0.9125539660453796,0.1,1,1,0.14955658689141274,0.9499622583389282,0.08744603395462036,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1771308219.900394,0,leader,manual,0.906963050365448,0.020614689216017723,0.9090861678123474,0.9,1,1,-0.006963050365447976,0.9793853107839823,0.09091383218765259,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1771308220.0012686,1,follower,manual,-0.04955517500638962,0.05003930255770683,0.9125672578811646,0.1,1,1,0.14955517500638962,0.9499606974422932,0.08743274211883545,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1771308220.1038375,0,leader,manual,0.9069711565971375,0.020625857636332512,0.9090642929077148,0.9,1,1,-0.006971156597137429,0.9793741423636675,0.09093570709228516,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
