timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z,cbf_fire_flag,rc_safe_x,rc_safe_z,rc_diff_norm,qp_status,active_constraint_id
1756262275.265966,0,leader,manual,0.08478277176618576,0.05683111026883125,-0.38845500349998474,0,1,0,-0.08478277176618576,0.9431688897311687,0.38845500349998474,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262275.3664026,1,follower,manual,0.10006944835186005,0.053660351783037186,0.5138576626777649,0,1,1,-0.10006944835186005,0.9463396482169628,0.4861423373222351,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262275.4736474,0,leader,manual,0.08478701114654541,0.05682330206036568,-0.38846129179000854,0,1,0,-0.08478701114654541,0.9431766979396343,0.38846129179000854,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262275.5740674,1,follower,manual,0.10007292777299881,0.05365147441625595,0.5138510465621948,0,1,1,-0.10007292777299881,0.946348525583744,0.4861489534378052,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262275.7601748,0,leader,manual,0.08478673547506332,0.05683756247162819,-0.3884458839893341,0,1,0,-0.08478673547506332,0.9431624375283718,0.3884458839893341,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262275.860969,1,follower,manual,0.10005243122577667,0.05365966260433197,0.5138806700706482,0,1,1,-0.10005243122577667,0.946340337395668,0.4861193299293518,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262275.981306,0,leader,manual,0.08479049056768417,0.05683061480522156,-0.3884708881378174,0,1,0,-0.08479049056768417,0.9431693851947784,0.3884708881378174,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262276.081766,1,follower,manual,0.10007959604263306,0.05364971607923508,0.5138403177261353,0,1,1,-0.10007959604263306,0.9463502839207649,0.48615968227386475,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262276.1836839,0,leader,manual,0.08478216826915741,0.05683755874633789,-0.3884599506855011,0,1,0,-0.08478216826915741,0.9431624412536621,0.3884599506855011,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262276.2848532,1,follower,manual,0.10007032006978989,0.05366112291812897,0.5138585567474365,0,1,1,-0.10007032006978989,0.946338877081871,0.4861414432525635,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
