timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z,cbf_enabled,cbf_margin,cbf_applied,cbf_fallback,u_nom_lr,u_nom_fb,u_filt_lr,u_filt_fb
1756189075.8052611,0,leader,manual,0.0031635798513889313,0.0554938018321991,0.08568806201219559,0,1,0,-0.0031635798513889313,0.9445061981678009,-0.08568806201219559,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189076.7069054,1,follower,manual,0.01012287475168705,0.05580667778849602,0.7961878776550293,0,1,1,-0.01012287475168705,0.944193322211504,0.2038121223449707,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189076.857117,0,leader,manual,0.003160221502184868,0.05549543723464012,0.08569344133138657,0,1,0,-0.003160221502184868,0.9445045627653599,-0.08569344133138657,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189076.9574504,1,follower,manual,0.010132809169590473,0.05578473582863808,0.7961741089820862,0,1,1,-0.010132809169590473,0.9442152641713619,0.20382589101791382,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189077.0635207,0,leader,manual,0.003182101994752884,0.055511489510536194,0.08568598330020905,0,1,0,-0.003182101994752884,0.9444885104894638,-0.08568598330020905,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189077.1637537,1,follower,manual,0.010136617347598076,0.05579459294676781,0.7961564660072327,0,1,1,-0.010136617347598076,0.9442054070532322,0.20384353399276733,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189077.2689435,0,leader,manual,0.0031776451505720615,0.05550634115934372,0.08567844331264496,0,1,0,-0.0031776451505720615,0.9444936588406563,-0.08567844331264496,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189077.3693078,1,follower,manual,0.010139090940356255,0.05580192059278488,0.7961625456809998,0,1,1,-0.010139090940356255,0.9441980794072151,0.20383745431900024,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189077.479311,0,leader,manual,0.0031759380362927914,0.05551418662071228,0.08567306399345398,0,1,0,-0.0031759380362927914,0.9444858133792877,-0.08567306399345398,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189077.5795825,1,follower,manual,0.010134566575288773,0.055798664689064026,0.7961630821228027,0,1,1,-0.010134566575288773,0.944201335310936,0.20383691787719727,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189077.7661238,0,leader,manual,0.003178507089614868,0.05552217364311218,0.0856839045882225,0,1,0,-0.003178507089614868,0.9444778263568878,-0.0856839045882225,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189077.8664958,1,follower,manual,0.010144445113837719,0.055821821093559265,0.7961599826812744,0,1,1,-0.010144445113837719,0.9441781789064407,0.20384001731872559,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189077.9693244,0,leader,manual,0.003159773536026478,0.055490948259830475,0.08568613231182098,0,1,0,-0.003159773536026478,0.9445090517401695,-0.08568613231182098,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189078.0695794,1,follower,manual,0.010144212283194065,0.05578220635652542,0.7961555123329163,0,1,1,-0.010144212283194065,0.9442177936434746,0.20384448766708374,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189078.1734815,0,leader,manual,0.0031633751932531595,0.05549070984125137,0.08568138629198074,0,1,0,-0.0031633751932531595,0.9445092901587486,-0.08568138629198074,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
1756189078.2736971,1,follower,manual,0.010121839120984077,0.055774614214897156,0.7961596250534058,0,1,1,-0.010121839120984077,0.9442253857851028,0.20384037494659424,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,False,False,,,,
