timestamp,drone_id,role,mode,x,y,z,x_hat,y_hat,z_hat,vx,vy,vz,vx_hat,vy_hat,vz_hat,target_x,target_y,target_z,target_vx,target_vy,target_vz,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,trust,xi_x,xi_y,xi_z,xi_ijk_x,xi_ijk_y,xi_ijk_z,xi_sig_x,xi_sig_y,xi_sig_z,psi_x,psi_y,psi_z,tau,is_collinear,is_occluded,tracking_error,estimation_error,control_weight_norm
1769321392.1038928,0,follower_3,slaf,-0.24280519783496857,1.0,0.8626890182495117,-0.24280519783496857,1.0,0.8626890182495117,0.0,0.0,0.0,0.0,0.0,0.0,-0.24280519783496857,1.0,0.8626890182495117,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1769321392.1043026,1,follower_4,slaf,-0.35796910524368286,1.0,0.05362432077527046,-0.35796910524368286,1.0,0.05362432077527046,0.0,0.0,0.0,0.0,0.0,0.0,-0.35796910524368286,1.0,0.05362432077527046,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1769321392.6260781,0,follower_3,slaf,-0.22265945374965668,1.0,0.848000168800354,-0.17768017607959444,1.0,0.7350028015264537,0.06447926163673401,0.0,-0.03570377826690674,0.024265457691995757,0.0,0.05458104719476532,-0.09977064061929924,1.0,0.7997706406192993,0.0021407318115234377,0.0,-0.0021407318115234377,-0.12288881313035743,0.0,0.04822952818105475,18,14,0,0,1.0,0.009628438872913347,0.0,0.03833507740102151,0.009628438872913347,0.0,0.03833507740102151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.13201419537744818,0.1216204770199216,0.5826251353371089
1769321392.626828,1,follower_4,slaf,-0.3736412227153778,1.0,0.04503316432237625,-0.2776679760045113,1.0,0.19336704775852953,-0.035531818866729736,0.0,-0.024996362626552582,0.10120726356119242,0.0,0.00594492219403665,-0.09977064061929924,1.0,0.19977064061929925,0.0021407318115234377,0.0,-0.0021407318115234377,-0.27387058209607856,0.0,-0.154737476296923,2,49,0,0,1.0,-0.02350991399898064,0.0,-0.010397044224929743,-0.02350991399898064,0.0,-0.010397044224929743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.3145612536667314,0.17667429088431388,1.2586149560473514
1769321393.1434155,0,follower_3,slaf,-0.17490100860595703,1.0,0.856132447719574,-0.11447083980557257,1.0,0.8042745080785334,0.11236637830734253,0.0,0.048296451568603516,0.09304182802996687,0.0,0.12891692989598122,-0.09543323809047366,1.0,0.7954332380904736,0.012512435913085937,0.0,-0.012512435913085937,-0.07946777051548337,0.0,0.06069920962910036,-9,-4,0,0,1.0,0.004467472200574302,0.0,0.017400721740028997,0.004467472200574302,0.0,0.017400721740028997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0999976029727663,0.07963071772285345,0.5900641957478031
1769321393.1438599,1,follower_4,slaf,-0.33571434020996094,1.0,0.025027284398674965,-0.2240554616617092,1.0,0.13691192566492974,0.18912464380264282,0.0,-0.03347007557749748,0.5121957333992907,0.0,0.09782888876386961,-0.09543323809047366,1.0,0.1954332380904737,0.012512435913085937,0.0,-0.012512435913085937,-0.24028110211948728,0.0,-0.17040595369179873,15,15,0,0,1.0,0.004506280138320963,0.0,-0.012901602000686747,0.004506280138320963,0.0,-0.012901602000686747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.2945729062377715,0.15806921936269488,1.2182124358751978
1769321393.6643922,0,follower_3,slaf,-0.1342809498310089,1.0,0.876872718334198,-0.06752244610080814,1.0,0.849195868403514,0.053173452615737915,0.0,0.013545751571655273,0.027114662323165388,0.0,-0.032270776819680415,-0.08566645944004224,1.0,0.7856664594400422,0.0229248046875,0.0,-0.0229248046875,-0.04861449039096667,0.0,0.09120625889415579,-20,-6,0,0,1.0,0.0013478430903805724,0.0,0.005097609582751066,0.0013478430903805724,0.0,0.005097609582751066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.10335352116614684,0.07226829071163114,0.5959605404532257
1769321393.6648123,1,follower_4,slaf,-0.2186269760131836,1.0,0.031391244381666183,-0.1200862659821137,1.0,0.11877106165093368,0.2067159116268158,0.0,0.029540471732616425,0.5236783410978122,0.0,0.23504454605479455,-0.08566645944004224,1.0,0.18566645944004226,0.0229248046875,0.0,-0.0229248046875,-0.13296051657314134,0.0,-0.15427521505837608,10,-8,0,0,1.0,-0.010189863742124147,0.0,-0.008613547848606136,-0.010189863742124147,0.0,-0.008613547848606136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.20366477591548515,0.13170233103266615,1.2174022634567263
1769321394.1909494,0,follower_3,slaf,-0.1218503937125206,1.0,0.8443905115127563,-0.05460461699729606,1.0,0.8186388898463935,0.020702332258224487,0.0,-0.11676907539367676,-0.013564642609893134,0.0,-0.18877810665789568,-0.07025537656849794,1.0,0.770255376568498,0.03346309661865234,0.0,-0.03346309661865234,-0.05159501714402266,0.0,0.07413513494425839,-4,-1,0,0,1.0,-0.00029934173736612633,0.0,-0.0011138532251477318,-0.00029934173736612633,0.0,-0.0011138532251477318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.09032200190039741,0.07200791973443839,0.5993752139141635
1769321394.1913495,1,follower_4,slaf,-0.16723351180553436,1.0,0.042515695095062256,-0.0929170426289461,1.0,0.10997329311214367,0.03677666187286377,0.0,0.011506490409374237,0.4832621075189129,0.0,0.3321282164610712,-0.07025537656849794,1.0,0.17025537656849796,0.03346309661865234,0.0,-0.03346309661865234,-0.09697813523703643,0.0,-0.1277396814734357,9,6,0,0,1.0,-0.007816257573949728,0.0,-0.007507898001847504,-0.007816257573949728,0.0,-0.007507898001847504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.16038137341034256,0.10036665343184926,1.287227360170107
