timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z,cbf_fire_flag,rc_safe_x,rc_safe_z,rc_diff_norm,qp_status,active_constraint_id
1756262042.484007,0,leader,manual,0.08639788627624512,0.05663040652871132,-0.6907688975334167,0,1,0,-0.08639788627624512,0.9433695934712887,0.6907688975334167,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262042.4841278,1,follower,manual,0.09211095422506332,0.054360322654247284,0.08001810312271118,0,1,1,-0.09211095422506332,0.9456396773457527,0.9199818968772888,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262042.6868262,0,leader,manual,0.08640004694461823,0.05663875490427017,-0.6907678842544556,0,1,0,-0.08640004694461823,0.9433612450957298,0.6907678842544556,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262042.686988,1,follower,manual,0.092108815908432,0.05436528101563454,0.08001244068145752,0,1,1,-0.092108815908432,0.9456347189843655,0.9199875593185425,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262042.8263378,0,leader,manual,0.08639433234930038,0.05664634704589844,-0.6907533407211304,0,1,0,-0.08639433234930038,0.9433536529541016,0.6907533407211304,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262042.9270184,1,follower,manual,0.09210153669118881,0.054383326321840286,0.08003271371126175,0,1,1,-0.09210153669118881,0.9456166736781597,0.9199672862887383,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262043.1022515,0,leader,manual,0.08639590442180634,0.05664796382188797,-0.6907638311386108,0,1,0,-0.08639590442180634,0.943352036178112,0.6907638311386108,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262043.202687,1,follower,manual,0.09210596233606339,0.0543770007789135,0.08001947402954102,0,1,1,-0.09210596233606339,0.9456229992210865,0.919980525970459,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262043.335457,0,leader,manual,0.08639659732580185,0.05665183812379837,-0.69077068567276,0,1,0,-0.08639659732580185,0.9433481618762016,0.69077068567276,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262043.4357338,1,follower,manual,0.09211636334657669,0.05437901243567467,0.08001448214054108,0,1,1,-0.09211636334657669,0.9456209875643253,0.9199855178594589,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262043.594812,0,leader,manual,0.08639300614595413,0.05666189640760422,-0.6907589435577393,0,1,0,-0.08639300614595413,0.9433381035923958,0.6907589435577393,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262043.6951256,1,follower,manual,0.09210337698459625,0.054391734302043915,0.08003132790327072,0,1,1,-0.09210337698459625,0.9456082656979561,0.9199686720967293,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262043.8061278,0,leader,manual,0.08639372140169144,0.056644462049007416,-0.6907588243484497,0,1,0,-0.08639372140169144,0.9433555379509926,0.6907588243484497,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262043.9065764,1,follower,manual,0.09210535138845444,0.054376717656850815,0.08002637326717377,0,1,1,-0.09210535138845444,0.9456232823431492,0.9199736267328262,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262044.009674,0,leader,manual,0.08639876544475555,0.056640446186065674,-0.6907669305801392,0,1,0,-0.08639876544475555,0.9433595538139343,0.6907669305801392,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262044.2103245,1,follower,manual,0.09210758656263351,0.05437096953392029,0.08002225309610367,0,1,1,-0.09210758656263351,0.9456290304660797,0.9199777469038963,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262044.3612826,0,leader,manual,0.0863991230726242,0.056663308292627335,-0.6907645463943481,0,1,0,-0.0863991230726242,0.9433366917073727,0.6907645463943481,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262044.4619632,1,follower,manual,0.09210916608572006,0.0543832965195179,0.08002126961946487,0,1,1,-0.09210916608572006,0.9456167034804821,0.9199787303805351,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262044.5715303,0,leader,manual,0.08639608323574066,0.056648265570402145,-0.6907634139060974,0,1,0,-0.08639608323574066,0.9433517344295979,0.6907634139060974,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262044.6728034,1,follower,manual,0.09210088849067688,0.05436888337135315,0.08001960813999176,0,1,1,-0.09210088849067688,0.9456311166286469,0.9199803918600082,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262044.775808,0,leader,manual,0.08639561384916306,0.05665459483861923,-0.6907535791397095,0,1,0,-0.08639561384916306,0.9433454051613808,0.6907535791397095,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262044.8761559,1,follower,manual,0.09210006147623062,0.05438540503382683,0.0800340473651886,0,1,1,-0.09210006147623062,0.9456145949661732,0.9199659526348114,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262045.0224602,0,leader,manual,0.0863974541425705,0.05664316564798355,-0.6907592415809631,0,1,0,-0.0863974541425705,0.9433568343520164,0.6907592415809631,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262045.122905,1,follower,manual,0.09211719036102295,0.05437738448381424,0.08003096282482147,0,1,1,-0.09211719036102295,0.9456226155161858,0.9199690371751785,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262045.2859976,0,leader,manual,0.08639957010746002,0.05663833022117615,-0.6907603144645691,0,1,0,-0.08639957010746002,0.9433616697788239,0.6907603144645691,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262045.38629,1,follower,manual,0.09211544692516327,0.054373037070035934,0.08002627640962601,0,1,1,-0.09211544692516327,0.9456269629299641,0.919973723590374,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262045.4908502,0,leader,manual,0.08639613538980484,0.056663528084754944,-0.6907600164413452,0,1,0,-0.08639613538980484,0.9433364719152451,0.6907600164413452,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262045.5911567,1,follower,manual,0.09210044890642166,0.054394226521253586,0.0800265520811081,0,1,1,-0.09210044890642166,0.9456057734787464,0.9199734479188919,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262045.6940176,0,leader,manual,0.08639990538358688,0.05666308104991913,-0.6907607316970825,0,1,0,-0.08639990538358688,0.9433369189500809,0.6907607316970825,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262045.7944355,1,follower,manual,0.09210260957479477,0.054388489574193954,0.0800207182765007,0,1,1,-0.09210260957479477,0.945611510425806,0.9199792817234993,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262045.899254,0,leader,manual,0.0863993763923645,0.05665426701307297,-0.690768301486969,0,1,0,-0.0863993763923645,0.943345732986927,0.690768301486969,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262045.999723,1,follower,manual,0.09210646152496338,0.05438069999217987,0.08001954108476639,0,1,1,-0.09210646152496338,0.9456193000078201,0.9199804589152336,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262046.1952486,0,leader,manual,0.08639942854642868,0.05665980279445648,-0.6907607316970825,0,1,0,-0.08639942854642868,0.9433401972055435,0.6907607316970825,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262046.2956676,1,follower,manual,0.09210401028394699,0.05439841002225876,0.08002696186304092,0,1,1,-0.09210401028394699,0.9456015899777412,0.9199730381369591,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
1756262051.0107594,0,leader,manual,0.08639364689588547,0.0566510371863842,-0.6907576322555542,0,1,0,-0.08639364689588547,0.9433489628136158,0.6907576322555542,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,
