timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z,cbf_fire_flag,rc_safe_x,rc_safe_z,rc_diff_norm,qp_status,active_constraint_id,rc_nom_x,rc_nom_z,h_x,HOh_x,h2_value,h2_satisfied,h3_value,h3_satisfied,velocity_diff_x,velocity_diff_y
1767694977.4200737,0,leader,manual,0.8334341049194336,0.04284987971186638,0.8288978934288025,0.9,1,1,0.06656589508056643,0.9571501202881336,0.1711021065711975,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1767694977.5207973,1,follower,manual,0.05191737413406372,0.07315417379140854,0.8321638703346252,0.1,1,1,0.048082625865936285,0.9268458262085915,0.16783612966537476,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1767694977.6738462,0,leader,manual,0.8334245085716248,0.04283784329891205,0.828896164894104,0.9,1,1,0.06657549142837527,0.957162156701088,0.171103835105896,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1767694977.7743607,1,follower,manual,0.0519082136452198,0.07316631823778152,0.8321567177772522,0.1,1,1,0.0480917863547802,0.9268336817622185,0.1678432822227478,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1767694977.9258244,0,leader,manual,0.8334290981292725,0.042832035571336746,0.8288984298706055,0.9,1,1,0.06657090187072756,0.9571679644286633,0.17110157012939453,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1767694978.0263894,1,follower,manual,0.0519130639731884,0.07313968986272812,0.8321924805641174,0.1,1,1,0.048086936026811605,0.9268603101372719,0.16780751943588257,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1767694978.1607676,0,leader,manual,0.8334239721298218,0.042846545577049255,0.8288962244987488,0.9,1,1,0.06657602787017824,0.9571534544229507,0.17110377550125122,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1767694978.2611604,1,follower,manual,0.051903992891311646,0.07315098494291306,0.8321521878242493,0.1,1,1,0.04809600710868836,0.926849015057087,0.16784781217575073,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1767694978.3863578,0,leader,manual,0.833420991897583,0.04284863919019699,0.8288915157318115,0.9,1,1,0.06657900810241701,0.957151360809803,0.17110848426818848,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1767694978.4868004,1,follower,manual,0.05190690979361534,0.0731377974152565,0.8321505784988403,0.1,1,1,0.048093090206384664,0.9268622025847435,0.16784942150115967,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1767694983.8035834,0,leader,manual,0.8334318399429321,0.0428369976580143,0.8289051651954651,0.9,1,1,0.0665681600570679,0.9571630023419857,0.1710948348045349,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1767694983.9041529,1,follower,manual,0.05190576612949371,0.073135606944561,0.8321648240089417,0.1,1,1,0.04809423387050629,0.926864393055439,0.16783517599105835,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
