timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z,cbf_fire_flag,rc_safe_x,rc_safe_z,rc_diff_norm,qp_status,active_constraint_id,rc_nom_x,rc_nom_z,h_x,HOh_x,h2_value,h2_satisfied,h3_value,h3_satisfied,velocity_diff_x,velocity_diff_y
1767680596.9253337,0,leader,manual,0.825258195400238,0.03487205132842064,0.8377572298049927,0.9,1,1,0.07474180459976199,0.9651279486715794,0.16224277019500732,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1767680596.9254365,1,follower,manual,0.04087210074067116,0.05890045687556267,0.8558456301689148,0.1,1,1,0.05912789925932885,0.9410995431244373,0.1441543698310852,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1767680597.076255,0,leader,manual,0.8252565264701843,0.034869562834501266,0.837772011756897,0.9,1,1,0.0747434735298157,0.9651304371654987,0.16222798824310303,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1767680597.0763748,1,follower,manual,0.040856923907995224,0.0588880218565464,0.8558715581893921,0.1,1,1,0.05914307609200478,0.9411119781434536,0.1441284418106079,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1767680597.2797818,0,leader,manual,0.8252596855163574,0.03486141189932823,0.8377788066864014,0.9,1,1,0.0747403144836426,0.9651385881006718,0.16222119331359863,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1767680597.2799683,1,follower,manual,0.04086519032716751,0.05889261141419411,0.8558698892593384,0.1,1,1,0.059134809672832495,0.9411073885858059,0.14413011074066162,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1767680597.4818053,0,leader,manual,0.8252658843994141,0.03486713767051697,0.8378129005432129,0.9,1,1,0.07473411560058596,0.965132862329483,0.1621870994567871,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1767680597.4819589,1,follower,manual,0.040874384343624115,0.058889031410217285,0.8558589816093445,0.1,1,1,0.05912561565637589,0.9411109685897827,0.14414101839065552,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1767680597.6866782,0,leader,manual,0.8252726793289185,0.034889306873083115,0.8377713561058044,0.9,1,1,0.07472732067108157,0.9651106931269169,0.16222864389419556,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1767680597.6868365,1,follower,manual,0.04086741805076599,0.058898258954286575,0.855876088142395,0.1,1,1,0.059132581949234014,0.9411017410457134,0.14412391185760498,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
