timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z
1766034530.0013814,0,leader,manual,0.06847067177295685,0.03192577138543129,0.6056263446807861,0,1,0,-0.06847067177295685,0.9680742286145687,-0.6056263446807861,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034530.1019013,1,follower,manual,0.09321943670511246,0.05410035699605942,-0.3153102397918701,0,1,1,-0.09321943670511246,0.9458996430039406,1.3153102397918701,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034530.3205101,0,leader,manual,0.06845816969871521,0.031896643340587616,0.6056262254714966,0,1,0,-0.06845816969871521,0.9681033566594124,-0.6056262254714966,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034530.420935,1,follower,manual,0.09322210401296616,0.05408810079097748,-0.31531405448913574,0,1,1,-0.09322210401296616,0.9459118992090225,1.3153140544891357,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034530.6007173,0,leader,manual,0.0684657171368599,0.0319160558283329,0.605621337890625,0,1,0,-0.0684657171368599,0.9680839441716671,-0.605621337890625,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034530.7012146,1,follower,manual,0.09322573244571686,0.05411476269364357,-0.3153161108493805,0,1,1,-0.09322573244571686,0.9458852373063564,1.3153161108493805,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034530.8044436,0,leader,manual,0.06847304105758667,0.031918901950120926,0.6056305170059204,0,1,0,-0.06847304105758667,0.9680810980498791,-0.6056305170059204,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034530.9048977,1,follower,manual,0.09322196245193481,0.05409988388419151,-0.3153274357318878,0,1,1,-0.09322196245193481,0.9459001161158085,1.3153274357318878,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034531.1193285,0,leader,manual,0.06846888363361359,0.031919386237859726,0.6056341528892517,0,1,0,-0.06846888363361359,0.9680806137621403,-0.6056341528892517,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034531.219862,1,follower,manual,0.09324061870574951,0.05410925671458244,-0.31532707810401917,0,1,1,-0.09324061870574951,0.9458907432854176,1.3153270781040192,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034531.3691611,0,leader,manual,0.06846510618925095,0.03191576153039932,0.6056152582168579,0,1,0,-0.06846510618925095,0.9680842384696007,-0.6056152582168579,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034531.4695709,1,follower,manual,0.09322808682918549,0.054104387760162354,-0.31532642245292664,0,1,1,-0.09322808682918549,0.9458956122398376,1.3153264224529266,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034531.6629531,0,leader,manual,0.06847464293241501,0.031914614140987396,0.605635404586792,0,1,0,-0.06847464293241501,0.9680853858590126,-0.605635404586792,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034531.7633872,1,follower,manual,0.09322410821914673,0.05410049483180046,-0.3153231739997864,0,1,1,-0.09322410821914673,0.9458995051681995,1.3153231739997864,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034531.8686342,0,leader,manual,0.06847299635410309,0.03191879391670227,0.6056398153305054,0,1,0,-0.06847299635410309,0.9680812060832977,-0.6056398153305054,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034531.969066,1,follower,manual,0.09323161095380783,0.05411805212497711,-0.31533676385879517,0,1,1,-0.09323161095380783,0.9458819478750229,1.3153367638587952,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034532.0724194,0,leader,manual,0.06845813244581223,0.03192729130387306,0.6056470274925232,0,1,0,-0.06845813244581223,0.9680727086961269,-0.6056470274925232,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034532.1729355,1,follower,manual,0.09322931617498398,0.05411350354552269,-0.31532368063926697,0,1,1,-0.09322931617498398,0.9458864964544773,1.315323680639267,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034532.282346,0,leader,manual,0.068479023873806,0.03189490735530853,0.6056318879127502,0,1,0,-0.068479023873806,0.9681050926446915,-0.6056318879127502,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034532.38288,1,follower,manual,0.09324003756046295,0.05409955605864525,-0.31531813740730286,0,1,1,-0.09324003756046295,0.9459004439413548,1.3153181374073029,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034532.485472,0,leader,manual,0.06847167760133743,0.031920094043016434,0.6056332588195801,0,1,0,-0.06847167760133743,0.9680799059569836,-0.6056332588195801,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1766034532.5859115,1,follower,manual,0.09323897957801819,0.05409987270832062,-0.31531739234924316,0,1,1,-0.09323897957801819,0.9459001272916794,1.3153173923492432,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
