timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z
1765949029.1490376,0,leader,manual,0.29017525911331177,0.03418203070759773,0.1785254329442978,0,1,0,-0.29017525911331177,0.9658179692924023,-0.1785254329442978,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1765949029.149317,1,follower,manual,-0.19985072314739227,0.054955001920461655,-0.20347435772418976,0.5,1,0.5,0.6998507231473923,0.9450449980795383,0.7034743577241898,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1765949029.1494973,2,follower,manual,,,,0.5,1,-0.5,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1765949030.0330658,0,leader,manual,0.2901863753795624,0.034181516617536545,0.1785244196653366,0,1,0,-0.2901863753795624,0.9658184833824635,-0.1785244196653366,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1765949030.0421307,1,follower,manual,-0.1998509019613266,0.054957203567028046,-0.20347686111927032,0.5,1,0.5,0.6998509019613266,0.945042796432972,0.7034768611192703,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1765949030.0426047,2,follower,manual,,,,0.5,1,-0.5,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1765949030.2648613,0,leader,manual,0.29017674922943115,0.034184131771326065,0.17852918803691864,0,1,0,-0.29017674922943115,0.9658158682286739,-0.17852918803691864,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1765949030.2651253,1,follower,manual,-0.19984272122383118,0.05495689436793327,-0.20346474647521973,0.5,1,0.5,0.6998427212238312,0.9450431056320667,0.7034647464752197,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1765949030.2652943,2,follower,manual,,,,0.5,1,-0.5,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1765949030.476292,0,leader,manual,0.2901725172996521,0.03418499231338501,0.17852623760700226,0,1,0,-0.2901725172996521,0.965815007686615,-0.17852623760700226,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1765949030.4765785,1,follower,manual,-0.1998443454504013,0.054957155138254166,-0.20346976816654205,0.5,1,0.5,0.6998443454504013,0.9450428448617458,0.703469768166542,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1765949030.4767632,2,follower,manual,,,,0.5,1,-0.5,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1765949030.6725192,0,leader,manual,0.29018041491508484,0.03418406471610069,0.17852669954299927,0,1,0,-0.29018041491508484,0.9658159352838993,-0.17852669954299927,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1765949030.67271,1,follower,manual,-0.1998487114906311,0.054955486208200455,-0.20346719026565552,0.5,1,0.5,0.6998487114906311,0.9450445137917995,0.7034671902656555,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1765949030.7732337,2,follower,manual,,,,0.5,1,-0.5,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1765949030.8882143,0,leader,manual,0.2901928126811981,0.03419795259833336,0.17852085828781128,0,1,0,-0.2901928126811981,0.9658020474016666,-0.17852085828781128,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1765949030.8889134,1,follower,manual,-0.1998472660779953,0.05496557429432869,-0.20347459614276886,0.5,1,0.5,0.6998472660779953,0.9450344257056713,0.7034745961427689,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1765949030.989304,2,follower,manual,,,,0.5,1,-0.5,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
