timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z,cbf_fire_flag,rc_safe_x,rc_safe_z,rc_diff_norm,qp_status,active_constraint_id,rc_nom_x,rc_nom_z,h_x,HOh_x
1760668978.5896344,0,leader,manual,1.050815463066101,0.04842960461974144,0.8398703336715698,0.9,1,1,-0.15081546306610105,0.9515703953802586,0.16012966632843018,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,
1760668978.6900296,1,follower,manual,0.02345254458487034,0.05820976942777634,0.8570510745048523,0.1,1,1,0.07654745541512967,0.9417902305722237,0.1429489254951477,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,
1760668978.794276,0,leader,manual,1.0508240461349487,0.04842055216431618,0.8398603796958923,0.9,1,1,-0.1508240461349487,0.9515794478356838,0.16013962030410767,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,
1760668978.8945396,1,follower,manual,0.023434102535247803,0.05818449705839157,0.8570510745048523,0.1,1,1,0.0765658974647522,0.9418155029416084,0.1429489254951477,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,
1760668979.0077894,0,leader,manual,1.0508227348327637,0.04841485619544983,0.839856743812561,0.9,1,1,-0.15082273483276365,0.9515851438045502,0.16014325618743896,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,
1760668979.1086998,1,follower,manual,0.0234488844871521,0.058172807097435,0.8570429682731628,0.1,1,1,0.0765511155128479,0.941827192902565,0.14295703172683716,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,
1760668979.2839663,0,leader,manual,1.0507978200912476,0.04849686846137047,0.8398940563201904,0.9,1,1,-0.15079782009124754,0.9515031315386295,0.16010594367980957,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,
1760668979.3842013,1,follower,manual,0.023437511175870895,0.058235540986061096,0.8570657968521118,0.1,1,1,0.07656248882412911,0.9417644590139389,0.14293420314788818,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,
1760668979.4874756,0,leader,manual,1.0508224964141846,0.04842131957411766,0.8398551940917969,0.9,1,1,-0.15082249641418455,0.9515786804258823,0.16014480590820312,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,
1760668979.5878038,1,follower,manual,0.0234474278986454,0.05819704756140709,0.8570463061332703,0.1,1,1,0.0765525721013546,0.9418029524385929,0.14295369386672974,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,
1760668979.6919055,0,leader,manual,1.0508188009262085,0.048436928540468216,0.8398626446723938,0.9,1,1,-0.15081880092620847,0.9515630714595318,0.1601373553276062,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,
1760668979.792132,1,follower,manual,0.023440616205334663,0.05820799991488457,0.85704505443573,0.1,1,1,0.07655938379466534,0.9417920000851154,0.14295494556427002,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,
1760668979.8954453,0,leader,manual,1.0508184432983398,0.04843723028898239,0.8398668766021729,0.9,1,1,-0.15081844329833982,0.9515627697110176,0.16013312339782715,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,
1760668979.9956822,1,follower,manual,0.023441705852746964,0.05820601433515549,0.8570401668548584,0.1,1,1,0.07655829414725304,0.9417939856648445,0.1429598331451416,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,
1760668980.1014054,0,leader,manual,1.050812005996704,0.04842819273471832,0.8398666381835938,0.9,1,1,-0.15081200599670408,0.9515718072652817,0.16013336181640625,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,
1760668980.2018776,1,follower,manual,0.023427259176969528,0.0582238994538784,0.8570517897605896,0.1,1,1,0.07657274082303048,0.9417761005461216,0.1429482102394104,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,
1760668980.305368,0,leader,manual,1.0508157014846802,0.04843864217400551,0.8398781418800354,0.9,1,1,-0.15081570148468015,0.9515613578259945,0.1601218581199646,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,
