timestamp,drone_id,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz
1761030714.674166,1,0.0,-1.0,0.0,0.0,0.0,0.0,65.0,67.0,10.0,0.0,71.0,-70.65,0.0,3.0,12.0,-997.0
1761030722.9888148,2,0.0,-1.0,0.0,0.0,0.0,0.0,65.0,67.0,10.0,0.0,71.0,-70.62,0.0,4.0,13.0,-1000.0
1761030723.0881746,1,0.0,-1.0,0.0,0.0,0.0,0.0,65.0,67.0,10.0,0.0,71.0,-70.83,0.0,3.0,12.0,-999.0
1761030723.19069,2,0.0,-1.0,0.0,0.0,0.0,0.0,65.0,67.0,10.0,0.0,71.0,-70.85,0.0,3.0,12.0,-1001.0
1761030723.2918103,1,0.0,0.0,17.0,0.0,0.0,0.0,69.0,72.0,10.0,0.0,93.0,-69.07,0.0,12.0,6.0,-1001.0
1761030723.29302,2,0.0,0.0,17.0,0.0,0.0,0.0,69.0,72.0,10.0,0.0,93.0,-69.02,0.0,12.0,7.0,-1001.0
1761030723.4938948,1,0.0,0.0,17.0,0.0,0.0,0.0,69.0,72.0,10.0,0.0,93.0,-69.03,0.0,11.0,6.0,-1000.0
1761030723.4989624,2,0.0,0.0,17.0,0.0,0.0,0.0,69.0,72.0,10.0,0.0,93.0,-69.01,0.0,10.0,7.0,-998.0
1761030723.6998148,1,0.0,0.0,17.0,0.0,0.0,0.0,69.0,72.0,10.0,0.0,93.0,-68.99,0.0,12.0,5.0,-999.0
1761030723.7072597,2,0.0,0.0,17.0,0.0,0.0,0.0,69.0,72.0,10.0,0.0,93.0,-69.01,0.0,12.0,6.0,-999.0
1761030723.9088233,1,0.0,0.0,17.0,0.0,0.0,0.0,69.0,72.0,10.0,0.0,93.0,-69.01,0.0,11.0,8.0,-999.0
1761030723.9095852,2,0.0,0.0,17.0,0.0,0.0,0.0,69.0,72.0,10.0,0.0,93.0,-69.04,0.0,12.0,5.0,-999.0
1761030724.110421,1,0.0,0.0,17.0,0.0,0.0,0.0,69.0,72.0,10.0,0.0,93.0,-68.99,0.0,13.0,5.0,-1001.0
1761030724.110563,2,0.0,0.0,17.0,0.0,0.0,0.0,69.0,72.0,10.0,0.0,93.0,-69.02,0.0,13.0,8.0,-1000.0
1761030724.3116825,1,0.0,0.0,17.0,0.0,0.0,0.0,69.0,72.0,10.0,0.0,93.0,-69.0,0.0,12.0,7.0,-997.0
1761030724.318722,2,0.0,0.0,17.0,0.0,0.0,0.0,69.0,72.0,10.0,0.0,93.0,-68.99,0.0,12.0,7.0,-1000.0
1761030724.5206912,1,0.0,0.0,0.0,0.0,0.0,0.0,64.0,67.0,10.0,0.0,71.0,-70.76,0.0,4.0,11.0,-999.0
