timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,tilt_x,tilt_y,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z,battery,height,leader_status,exec_time
1756097169.68086,1,leader,auto,0.22025227546691895,0.7230422973632813,0.26155307292938235,,,,,,,,,,,,,0.9048374180359595,0.2753153443336487,0.9038028717041016,0.3269413411617279,0.22025227546691895,0.7230422973632813,0.26155307292938235,,,1,
1756097169.681922,2,follower,auto,0.11459766626358033,0.7451650619506837,0.8772403717041016,,,,,,,,,,,,,0.9048374180359595,0.1432470828294754,0.9314563274383545,1.096550464630127,0.11459766626358033,0.7451650619506837,0.8772403717041016,,,0,
1756097169.7906804,1,leader,auto,0.22025227546691895,0.7230422973632813,0.26155307292938235,,,,,,,,,,,,,0.9048374180359595,0.2753153443336487,0.9038028717041016,0.3269413411617279,0.22025227546691895,0.7230422973632813,0.26155307292938235,,,1,
1756097169.891986,2,follower,auto,0.11459766626358033,0.7451650619506837,0.8772403717041016,,,,,,,,,,,,,0.9048374180359595,0.1432470828294754,0.9314563274383545,1.096550464630127,0.11459766626358033,0.7451650619506837,0.8772403717041016,,,0,
1756097169.9971366,1,leader,auto,0.2805479323863983,0.8744943351745605,0.32382499439120294,,,,,,,,,,,,,0.85,-0.007779079675674427,0.1840298318862914,0.022308267027139617,0.2805479323863983,0.8744943351745605,0.32382499439120294,,,1,
1756097169.997702,2,follower,auto,0.14957510688006878,0.8994879559993745,1.0669601587355138,,,,,,,,,,,,,0.85,-0.010276474460959445,0.15127309346199025,0.13529448315501202,0.14957510688006878,0.8994879559993745,1.0669601587355138,,,0,
1756097170.1535306,1,leader,auto,0.2805479323863983,0.8744943351745605,0.32382499439120294,,,,,,,,,,,,,0.85,-0.007779079675674427,0.1840298318862914,0.022308267027139617,0.2805479323863983,0.8744943351745605,0.32382499439120294,,,1,
1756097170.2538865,2,follower,auto,0.14957510688006878,0.8994879559993745,1.0669601587355138,,,,,,,,,,,,,0.85,-0.010276474460959445,0.15127309346199025,0.13529448315501202,0.14957510688006878,0.8994879559993745,1.0669601587355138,,,0,
1756097170.3556485,1,leader,auto,0.29775054075717927,0.9083371520805359,0.34921904806160925,,,,,,,,,,,,,1.0,-0.12356195938587189,0.08571606836318968,-0.053316027117967624,0.29775054075717927,0.9083371520805359,0.34921904806160925,,,1,
1756097170.3560019,2,follower,auto,0.16336617290610075,0.9239351028327942,1.1065686375385524,,,,,,,,,,,,,1.0,-0.07930176554292442,0.005754592952728177,-0.0852784665852786,0.16336617290610075,0.9239351028327942,1.1065686375385524,,,0,
