timestamp,drone_id,role,mode,x,y,z,target_x,target_y,target_z,error_x,error_y,error_z,rc_lr,rc_fb,rc_ud,rc_yaw,trust,obs_error_x,obs_error_y,obs_error_z,obs_state_x,obs_state_y,obs_state_z,cbf_fire_flag,rc_safe_x,rc_safe_z,rc_diff_norm,qp_status,active_constraint_id,rc_nom_x,rc_nom_z,h_x,HOh_x,h2_value,h2_satisfied,h3_value,h3_satisfied,velocity_diff_x,velocity_diff_y
1765267149.2245793,0,leader,manual,0.8519156575202942,0.034873269498348236,0.8523818850517273,0.9,1,1,0.04808434247970583,0.9651267305016518,0.1476181149482727,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267149.2247932,1,follower,manual,0.05680493637919426,0.05907008424401283,0.8663177490234375,0.1,1,1,0.043195063620805746,0.9409299157559872,0.1336822509765625,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267149.4673805,0,leader,manual,0.851914644241333,0.034874964505434036,0.852378785610199,0.9,1,1,0.048085355758667014,0.965125035494566,0.14762121438980103,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267149.4676065,1,follower,manual,0.056805748492479324,0.05906599014997482,0.8663107752799988,0.1,1,1,0.04319425150752068,0.9409340098500252,0.13368922472000122,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267149.5825436,0,leader,manual,0.8519093990325928,0.034917619079351425,0.8524214029312134,0.9,1,1,0.04809060096740725,0.9650823809206486,0.14757859706878662,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267149.682926,1,follower,manual,0.05680723115801811,0.05906930938363075,0.8663095831871033,0.1,1,1,0.04319276884198189,0.9409306906163692,0.13369041681289673,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267149.7848809,0,leader,manual,0.8519027233123779,0.034914299845695496,0.8524194359779358,0.9,1,1,0.04809727668762209,0.9650857001543045,0.1475805640220642,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267149.8853714,1,follower,manual,0.056803908199071884,0.059070758521556854,0.8663148283958435,0.1,1,1,0.04319609180092812,0.9409292414784431,0.1336851716041565,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267150.0891166,0,leader,manual,0.8518978953361511,0.034908659756183624,0.8524215817451477,0.9,1,1,0.0481021046638489,0.9650913402438164,0.1475784182548523,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
1765267150.1895711,1,follower,manual,0.05680327117443085,0.05906304344534874,0.866308867931366,0.1,1,1,0.04319672882556916,0.9409369565546513,0.13369113206863403,0,0,0,0,1.0,0,0,0,0,0,0,False,,,,,,,,,,,,,,,
